system:index,shapeGroup,shapeID,shapeName,shapeType,sum,.geo,source_file
00000000000000000053,BIH,43093233B54708030553090,Banovići,ADM3,121.9894199371338,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
0000000000000000003f,BIH,43093233B77928593657916,Berkovići,ADM3,3.4504075050354004,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
00000000000000000006,BIH,43093233B52287249452969,Bihać,ADM3,853.9302177485298,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
00000000000000000049,BIH,43093233B83094725746766,Bijeljina,ADM3,2106.4010441915657,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
00000000000000000041,BIH,43093233B25689857318815,Bileća,ADM3,284.8461530208588,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
00000000000000000071,BIH,43093233B79078535868776,Bosanska Krupa,ADM3,137.2190374135971,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
00000000000000000072,BIH,43093233B8593142689537,Bosanski Petrovac,ADM3,81.08833699693866,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
00000000000000000074,BIH,43093233B45723311829087,Bosansko Grahovo,ADM3,10.605708169937134,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
00000000000000000036,BIH,43093233B46435536509241,Bratunac,ADM3,216.1371008110981,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
00000000000000000001,BIH,43093233B82378099338701,Brcko District,ADM3,3115.9482222500974,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
0000000000000000007c,BIH,43093233B35408487409601,Breza,ADM3,221.28154185566245,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
00000000000000000011,BIH,43093233B98794056378335,Brod,ADM3,715.4682973712098,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
0000000000000000008d,BIH,43093233B60495374346514,Bugojno,ADM3,317.04719173908234,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
00000000000000000085,BIH,43093233B67476224198876,Busovača,ADM3,255.90792078130383,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
0000000000000000006d,BIH,43093233B33554401135407,Bužim,ADM3,68.14521192943349,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
0000000000000000006e,BIH,43093233B58899090992725,Cazin,ADM3,573.5149054667529,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
0000000000000000005c,BIH,43093233B82310753062851,Centar,ADM3,1486.0051856625314,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
00000000000000000015,BIH,43093233B95245630393454,Derventa,ADM3,221.96830582618716,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
00000000000000000014,BIH,43093233B88979236759582,Doboj,ADM3,971.5579793705656,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
0000000000000000004a,BIH,43093233B57216929410228,Doboj East,ADM3,273.98606096249,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
00000000000000000078,BIH,43093233B72212179272424,Doboj Jug,ADM3,104.72785953961164,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
00000000000000000088,BIH,43093233B28333540693502,Dobretići,ADM3,3.502603054046631,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
